
All device pins and their pinmux options

Pin,Name,Selected Mode,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
P18,RGMII1_TD2,,RGMII1_TD2,RMII1_CRS_DV,MII1_TXD2,,,,FSIRX1_D0,GPIO39,EQEP1_STROBE,,,,,,,
N17,RGMII1_TD3,,RGMII1_TD3,,MII1_TXD3,,,,FSIRX1_D1,GPIO40,EQEP1_INDEX,,,,,,,
N16,MDIO_MDIO,,MDIO_MDIO,,,,,,,GPIO41,,,,,,,,
M17,MDIO_MDC,,MDIO_MDC,,,,,,,GPIO42,,,,,,,,
B2,EPWM0_A,,EPWM0_A,,,,,,,GPIO43,,,EPWM0_A,,,,,
B1,EPWM0_B,,EPWM0_B,,,,,,,GPIO44,,,EPWM0_B,,,,,
D3,EPWM1_A,,EPWM1_A,,,,,,,GPIO45,,,EPWM1_A,,,,,
D2,EPWM1_B,,EPWM1_B,,,,,,,GPIO46,,,EPWM4_B,,,,,
C2,EPWM2_A,,EPWM2_A,,,,,,,GPIO47,,,EPWM2_A,,,,,
C1,EPWM2_B,,EPWM2_B,,,,,,,GPIO48,,,EPWM2_B,,,,,
E2,EPWM3_A,,EPWM3_A,,,,,,,GPIO49,,,EPWM3_A,,,,,
E3,EPWM3_B,,EPWM3_B,,,,,,,GPIO50,,,EPWM6_A,,,,,
D1,EPWM4_A,,EPWM4_A,,,,,,,GPIO51,,,EPWM4_A,,,,,
E4,EPWM4_B,,EPWM4_B,,,,,,FSITX1_CLK,GPIO52,,,EPWM1_B,,,,,
F2,EPWM5_A,,EPWM5_A,,,SPI5_CS0,,,FSITX1_D0,GPIO53,,,EPWM5_A,,,,,
G2,EPWM5_B,,EPWM5_B,,,SPI5_CLK,,,FSITX1_D1,GPIO54,,,EPWM8_B,,,,,
E1,EPWM6_A,,EPWM6_A,,,SPI5_D0,,,FSIRX1_CLK,GPIO55,,,EPWM3_B,,,,,
F3,EPWM6_B,,EPWM6_B,,,SPI5_D1,,,FSIRX1_D0,GPIO56,,,EPWM6_B,,,,,
F4,EPWM7_A,,EPWM7_A,,,SPI6_CS0,,,FSIRX1_D1,GPIO57,,,EPWM7_A,,,,,
F1,EPWM7_B,,EPWM7_B,,,SPI6_CLK,,,,GPIO58,,,EPWM5_B,,,,,
G3,EPWM8_A,,EPWM8_A,UART4_TXD,I2C3_SDA,SPI6_D0,,,FSITX2_CLK,GPIO59,,,EPWM8_A,,,,,
H2,EPWM8_B,,EPWM8_B,UART4_RXD,I2C3_SCL,SPI6_D1,,,FSITX2_D0,GPIO60,,,EPWM9_B,,,,,
G1,EPWM9_A,,EPWM9_A,,,SPI7_CS0,MCAN4_RX,,FSITX2_D1,GPIO61,,,EPWM9_A,,,,,
J2,EPWM9_B,,EPWM9_B,UART1_RTSn,,SPI7_CLK,MCAN4_TX,,FSIRX2_CLK,GPIO62,,,EPWM11_B,,,,,
G4,EPWM10_A,,EPWM10_A,UART1_CTSn,,SPI7_D0,MCAN5_RX,,FSIRX2_D0,GPIO63,,,EPWM7_B,,,,,
J3,EPWM10_B,,EPWM10_B,UART2_RTSn,,SPI7_D1,MCAN5_TX,OSPI0_RESET_OUT0,FSIRX2_D1,GPIO64,,,EPWM10_B,,,,,
H1,EPWM11_A,,EPWM11_A,UART2_CTSn,OSPI0_ECC_FAIL,,MCAN6_RX,OSPI0_RESET_OUT1,OSPI0_CSn0,GPIO65,,,EPWM11_A,,,,,
J1,EPWM11_B,,EPWM11_B,UART3_RTSn,OSPI0_RESET_OUT0,,MCAN6_TX,,OSPI0_D1,GPIO66,,,EPWM12_B,,,,,
K2,EPWM12_A,,EPWM12_A,UART3_CTSn,SPI4_CS1,,MCAN7_RX,,OSPI0_D5,GPIO67,,,EPWM12_A,,,,,
J4,EPWM12_B,,EPWM12_B,UART1_DCDn,SPI7_CS0,,MCAN7_TX,,OSPI0_D7,GPIO68,,,EPWM10_A,,,,,
K4,EPWM13_A,,EPWM13_A,UART1_RIn,SPI7_CLK,,,,OSPI0_D3,GPIO69,,,EPWM13_A,,,,,
K3,EPWM13_B,,EPWM13_B,UART1_DTRn,SPI7_D0,,,,OSPI0_ECC_FAIL,GPIO70,,,EPWM13_B,,,,,
V17,EPWM14_A,,EPWM14_A,UART1_DSRn,SPI7_D1,MCAN6_RX,,,,GPIO71,,,EPWM14_A,,,,,
T16,EPWM14_B,,EPWM14_B,,MII1_RX_ER,MCAN6_TX,,,,GPIO72,,,EPWM14_B,,,,,
P15,EPWM15_A,,EPWM15_A,UART5_TXD,MII1_COL,MCAN7_RX,,,,GPIO73,,CHANNEL4,EPWM15_A,,,,,
R16,EPWM15_B,,EPWM15_B,UART5_RXD,MII1_CRS,MCAN7_TX,,,,GPIO74,,CHANNEL5,EPWM15_B,,,,,
L3,UART1_RXD,,UART1_RXD,LIN1_RXD,OSPI0_LBCLKO,,,EPWM16_A,,GPIO75,,,EPWM16_A,EPWM10_A,,,,
M3,UART1_TXD,,UART1_TXD,LIN1_TXD,OSPI0_DQS,,,EPWM16_B,,GPIO76,,,EPWM16_B,,,,,
B6,MMC_CLK,,MMC_CLK,UART0_RXD,LIN0_RXD,MCAN0_RX,,EPWM17_A,,GPIO77,SDFM1_CLK0,,EPWM17_A,,,,,
A4,MMC_CMD,,MMC_CMD,UART0_TXD,LIN0_TXD,MCAN0_TX,,EPWM17_B,,GPIO78,SDFM1_D0,,EPWM17_B,,,,,
B5,MMC_DAT0,,MMC_DAT0,UART2_RXD,I2C1_SCL,MCAN1_RX,,EPWM18_A,,GPIO79,SDFM1_CLK1,,EPWM18_A,,,,,
B4,MMC_DAT1,,MMC_DAT1,,,MCAN1_TX,,EPWM18_B,,GPIO80,SDFM1_D1,,EPWM18_B,,,,,
A3,MMC_DAT2,,MMC_DAT2,UART2_TXD,I2C1_SDA,MCAN4_RX,,EPWM19_A,,GPIO81,SDFM1_CLK2,,EPWM19_A,,,,,
A2,MMC_DAT3,,MMC_DAT3,UART3_RTSn,,MCAN4_TX,,EPWM19_B,,GPIO82,SDFM1_D2,,EPWM19_B,,,,,
C6,MMC_SDWP,,MMC_SDWP,UART0_RTSn,I2C2_SCL,MCAN5_RX,,EPWM20_A,,GPIO83,SDFM1_CLK3,,EPWM20_A,,,,,
A5,MMC_SDCD,,MMC_SDCD,UART0_CTSn,I2C2_SDA,MCAN5_TX,,EPWM20_B,,GPIO84,SDFM1_D3,,EPWM20_B,,,,,
L17,PR0_MDIO_MDIO,,PR0_MDIO_MDIO,,,,,EPWM21_A,,GPIO85,,,EPWM21_A,,,,,
L18,PR0_MDIO_MDC,,PR0_MDIO_MDC,,,,,EPWM21_B,,GPIO86,,,EPWM21_B,,,,,
G17,PR0_PRU0_GPIO5,,PR0_PRU0_GPIO5,,RMII2_RX_ER,,MII2_RX_ER,EPWM22_A,,GPIO87,,,EPWM22_A,,,,,
F17,PR0_PRU0_GPIO9,,PR0_PRU0_GPIO9,,,PR0_UART0_CTSn,MII2_COL,EPWM22_B,,GPIO88,,,,,,,,
G18,PR0_PRU0_GPIO10,,PR0_PRU0_GPIO10,,RMII2_CRS_DV,PR0_UART0_RTSn,MII2_CRS,EPWM23_A,,GPIO89,,,EPWM22_B,,,,,
G15,PR0_PRU0_GPIO8,,PR0_PRU0_GPIO8,,,,,EPWM23_B,,GPIO90,,,EPWM29_A,,,,,
K15,PR0_PRU0_GPIO6,,PR0_PRU0_GPIO6,,RMII2_REF_CLK,RGMII2_RXC,MII2_RXCLK,EPWM24_A,,GPIO91,,,EPWM24_A,,,,,
K16,PR0_PRU0_GPIO4,,PR0_PRU0_GPIO4,,,RGMII2_RX_CTL,MII2_RXDV,EPWM24_B,,GPIO92,,,EPWM24_B,,,,,
K17,PR0_PRU0_GPIO0,,PR0_PRU0_GPIO0,,RMII2_RXD0,RGMII2_RD0,MII2_RXD0,EPWM25_A,,GPIO93,,,EPWM25_A,,,,,
K18,PR0_PRU0_GPIO1,,PR0_PRU0_GPIO1,,RMII2_RXD1,RGMII2_RD1,MII2_RXD1,EPWM25_B,,GPIO94,,,EPWM25_B,,,,,
J18,PR0_PRU0_GPIO2,,PR0_PRU0_GPIO2,,,RGMII2_RD2,MII2_RXD2,EPWM26_A,,GPIO95,,,EPWM26_A,,,,,
J17,PR0_PRU0_GPIO3,,PR0_PRU0_GPIO3,,,RGMII2_RD3,MII2_RXD3,EPWM26_B,,GPIO96,,,EPWM26_B,,,,,
H18,PR0_PRU0_GPIO16,,PR0_PRU0_GPIO16,,,RGMII2_TXC,MII2_TXCLK,EPWM27_A,,GPIO97,,,EPWM27_A,,,,,
L16,PR0_PRU0_GPIO15,,PR0_PRU0_GPIO15,,RMII2_TX_EN,RGMII2_TX_CTL,MII2_TX_EN,EPWM27_B,,GPIO98,,,,,,,,
M16,PR0_PRU0_GPIO11,,PR0_PRU0_GPIO11,,RMII2_TXD0,RGMII2_TD0,MII2_TXD0,EPWM28_A,,GPIO99,,,EPWM28_A,,,,,
M15,PR0_PRU0_GPIO12,,PR0_PRU0_GPIO12,,RMII2_TXD1,RGMII2_TD1,MII2_TXD1,EPWM28_B,,GPIO100,,,EPWM28_B,,,,,
H17,PR0_PRU0_GPIO13,,PR0_PRU0_GPIO13,,,RGMII2_TD2,MII2_TXD2,EPWM29_A,,GPIO101,,,EPWM27_B,,,,,
H16,PR0_PRU0_GPIO14,,PR0_PRU0_GPIO14,,,RGMII2_TD3,MII2_TXD3,EPWM29_B,,GPIO102,,,EPWM29_B,,,,,
F15,PR0_PRU1_GPIO5,,PR0_PRU1_GPIO5,,SPI5_CS0,,TRC_DATA0,EPWM30_A,,GPIO103,,CHANNEL6,EPWM30_A,,,,,
C18,PR0_PRU1_GPIO9,,PR0_PRU1_GPIO9,,SPI5_CLK,PR0_UART0_RXD,TRC_DATA1,EPWM30_B,,GPIO104,,CHANNEL7,,,,,,
D17,PR0_PRU1_GPIO10,,PR0_PRU1_GPIO10,,SPI5_D0,PR0_UART0_TXD,TRC_DATA2,EPWM31_A,,GPIO105,RES0_PWMOUT0,,EPWM31_A,,,,,
D18,PR0_PRU1_GPIO8,,PR0_PRU1_GPIO8,,SPI5_D1,,TRC_DATA3,EPWM31_B,,GPIO106,RES0_PWMOUT1,,EPWM31_B,,,,,
E16,PR0_PRU1_GPIO6,,PR0_PRU1_GPIO6,MCAN0_RX,,FSITX2_CLK,TRC_DATA4,,,GPIO107,,,,,,,,
F16,PR0_PRU1_GPIO4,,PR0_PRU1_GPIO4,MCAN0_TX,,FSITX2_D0,TRC_DATA5,,,GPIO108,,,,,,,,
F18,PR0_PRU1_GPIO0,,PR0_PRU1_GPIO0,MCAN1_RX,,FSITX2_D1,TRC_DATA6,,,GPIO109,,,EPWM23_A,,,,,
G16,PR0_PRU1_GPIO1,,PR0_PRU1_GPIO1,MCAN1_TX,,FSIRX2_CLK,TRC_DATA7,,,GPIO110,,,,,,,,
E17,PR0_PRU1_GPIO2,,PR0_PRU1_GPIO2,MCAN4_RX,,FSIRX2_D0,TRC_DATA8,,,GPIO111,,,,,,,,
E18,PR0_PRU1_GPIO3,,PR0_PRU1_GPIO3,MCAN4_TX,,FSIRX2_D1,TRC_DATA9,,,GPIO112,,,EPWM23_B,,,,,
C16,PR0_PRU1_GPIO16,,PR0_PRU1_GPIO16,MCAN5_RX,,FSITX3_CLK,TRC_DATA10,,,GPIO113,,,,,,,,
A17,PR0_PRU1_GPIO15,,PR0_PRU1_GPIO15,MCAN5_TX,,FSITX3_D0,TRC_DATA11,,,GPIO114,,,,,,,,
B18,PR0_PRU1_GPIO11,,PR0_PRU1_GPIO11,MCAN6_RX,SPI6_CS0,FSITX3_D1,TRC_DATA12,EPWM16_A,,GPIO115,,,,,,,,
B17,PR0_PRU1_GPIO12,,PR0_PRU1_GPIO12,MCAN6_TX,SPI6_CLK,FSIRX3_CLK,TRC_DATA13,EPWM16_B,,GPIO116,,,,,,,,
D16,PR0_PRU1_GPIO13,,PR0_PRU1_GPIO13,MCAN7_RX,SPI6_D0,FSIRX3_D0,TRC_DATA14,XBAROUT11,,GPIO117,RES0_PWMOUT0,,,,,,,
C17,PR0_PRU1_GPIO14,,PR0_PRU1_GPIO14,MCAN7_TX,SPI6_D1,FSIRX3_D1,TRC_DATA15,XBAROUT12,,GPIO118,RES0_PWMOUT1,,,,,,,
D15,PR0_PRU1_GPIO19,,PR0_PRU1_GPIO19,,UART3_RXD,PR0_IEP0_EDC_SYNC_OUT0,TRC_CLK,XBAROUT13,,GPIO119,,EQEP1_A,,,,,,
C15,PR0_PRU1_GPIO18,,PR0_PRU1_GPIO18,,UART3_TXD,PR0_IEP0_EDIO_DATA_IN_OUT31,TRC_CTL,XBAROUT14,,GPIO120,,EQEP1_B,,,,,,
P2,EXT_REFCLK0,,EXT_REFCLK0,,,,,XBAROUT15,,GPIO121,,EQEP1_INDEX,,,,,,
B16,SDFM0_CLK0,,CLKOUT1,,,,,,,GPIO122,SDFM0_CLK0,EQEP1_STROBE,,,,,,
