
All device pins and their pinmux options

Pin,Name,Selected Mode,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
M11,VSS_M11,,,,,,,,,,,,,,,,,
L11,VSS_L11,,,,,,,,,,,,,,,,,
K11,VSS_K11,,,,,,,,,,,,,,,,,
J11,VSS_J11,,,,,,,,,,,,,,,,,
H11,VSS_H11,,,,,,,,,,,,,,,,,
G11,VSS_G11,,,,,,,,,,,,,,,,,
N12,VSS_N12,,,,,,,,,,,,,,,,,
M12,VSS_M12,,,,,,,,,,,,,,,,,
L12,VSS_L12,,,,,,,,,,,,,,,,,
K12,VSS_K12,,,,,,,,,,,,,,,,,
J12,VSS_J12,,,,,,,,,,,,,,,,,
H12,VSS_H12,,,,,,,,,,,,,,,,,
G12,VSS_G12,,,,,,,,,,,,,,,,,
F12,VSS_F12,,,,,,,,,,,,,,,,,
E12,VSS_E12,,,,,,,,,,,,,,,,,
P13,VSS_P13,,,,,,,,,,,,,,,,,
M13,VSS_M13,,,,,,,,,,,,,,,,,
L13,VSS_L13,,,,,,,,,,,,,,,,,
J13,VSS_J13,,,,,,,,,,,,,,,,,
H13,VSS_H13,,,,,,,,,,,,,,,,,
F13,VSS_F13,,,,,,,,,,,,,,,,,
E13,VSS_E13,,,,,,,,,,,,,,,,,
P14,VSS_P14,,,,,,,,,,,,,,,,,
M14,VSS_M14,,,,,,,,,,,,,,,,,
L14,VSS_L14,,,,,,,,,,,,,,,,,
J14,VSS_J14,,,,,,,,,,,,,,,,,
H14,VSS_H14,,,,,,,,,,,,,,,,,
F14,VSS_F14,,,,,,,,,,,,,,,,,
E14,VSS_E14,,,,,,,,,,,,,,,,,
V18,VSS_V18,,,,,,,,,,,,,,,,,
A18,VSS_A18,,,,,,,,,,,,,,,,,
V1,VSSA_V1,,,,,,,,,,,,,,,,,
R5,VSSA_R5,,,,,,,,,,,,,,,,,
P6,VSSA_P6,,,,,,,,,,,,,,,,,
P8,VSSA_P8,,,,,,,,,,,,,,,,,
P10,VSSA_P10,,,,,,,,,,,,,,,,,
P12,VSSA_P12,,,,,,,,,,,,,,,,,
R13,VSSA_R13,,,,,,,,,,,,,,,,,
V16,VSSA_V16,,,,,,,,,,,,,,,,,
N5,VDD_N5,,,,,,,,,,,,,,,,,
K5,VDD_K5,,,,,,,,,,,,,,,,,
G5,VDD_G5,,,,,,,,,,,,,,,,,
N6,VDD_N6,,,,,,,,,,,,,,,,,
K6,VDD_K6,,,,,,,,,,,,,,,,,
G6,VDD_G6,,,,,,,,,,,,,,,,,
F9,VDD_F9,,,,,,,,,,,,,,,,,
E9,VDD_E9,,,,,,,,,,,,,,,,,
F11,VDD_F11,,,,,,,,,,,,,,,,,
E11,VDD_E11,,,,,,,,,,,,,,,,,
N13,VDD_N13,,,,,,,,,,,,,,,,,
K13,VDD_K13,,,,,,,,,,,,,,,,,
G13,VDD_G13,,,,,,,,,,,,,,,,,
N14,VDD_N14,,,,,,,,,,,,,,,,,
K14,VDD_K14,,,,,,,,,,,,,,,,,
G14,VDD_G14,,,,,,,,,,,,,,,,,
R8,VDDA18_R8,,,,,,,,,,,,,,,,,
R11,VDDA18_R11,,,,,,,,,,,,,,,,,
R9,VDD_R9,,,,,,,,,,,,,,,,,
R4,VDDA18_OSC_PLL_R4,,,,,,,,,,,,,,,,,
T4,RSVD_T4,,,,,,,,,,,,,,,,,
P7,VDDA33_P7,,,,,,,,,,,,,,,,,
P9,VDDA33_P9,,,,,,,,,,,,,,,,,
P11,VDDA33_P11,,,,,,,,,,,,,,,,,
J15,VDDAR1_J15,,,,,,,,,,,,,,,,,
D10,VDDAR2_D10,,,,,,,,,,,,,,,,,
H3,VDDAR3_H3,,,,,,,,,,,,,,,,,
L4,VDDS18_L4,,,,,,,,,,,,,,,,,
D6,VDDS18_D6,,,,,,,,,,,,,,,,,
N15,VDDS18_N15,,,,,,,,,,,,,,,,,
E15,VDDS18_E15,,,,,,,,,,,,,,,,,
T3,VDDS18_LDO_T3,,,,,,,,,,,,,,,,,
P4,VDDS33_P4,,,,,,,,,,,,,,,,,
H4,VDDS33_H4,,,,,,,,,,,,,,,,,
D8,VDDS33_D8,,,,,,,,,,,,,,,,,
D12,VDDS33_D12,,,,,,,,,,,,,,,,,
R15,VDDS33_R15,,,,,,,,,,,,,,,,,
L15,VDDS33_L15,,,,,,,,,,,,,,,,,
H15,VDDS33_H15,,,,,,,,,,,,,,,,,
RTI0_TIMER,RTI0_TIMER,,RTI0_TIMER,,,,,,,,,,,,,,,
RTI1_TIMER,RTI1_TIMER,,RTI1_TIMER,,,,,,,,,,,,,,,
RTI2_TIMER,RTI2_TIMER,,RTI2_TIMER,,,,,,,,,,,,,,,
RTI3_TIMER,RTI3_TIMER,,RTI3_TIMER,,,,,,,,,,,,,,,
RTI4_TIMER,RTI4_TIMER,,RTI4_TIMER,,,,,,,,,,,,,,,
RTI5_TIMER,RTI5_TIMER,,RTI5_TIMER,,,,,,,,,,,,,,,
RTI6_TIMER,RTI6_TIMER,,RTI6_TIMER,,,,,,,,,,,,,,,
RTI7_TIMER,RTI7_TIMER,,RTI7_TIMER,,,,,,,,,,,,,,,

